Team_Country,Total_Gold,Total_Silver,Total_Bronze
United States of America,39,41,33
People's Republic of China,38,32,18
Japan,27,14,17
Great Britain,22,21,22
ROC,20,28,23
Australia,17,7,22
Netherlands,10,12,14
Italy,10,10,20
Germany,10,11,16
France,10,12,11
New Zealand,7,6,7
Brazil,7,6,8
Canada,7,6,11
Cuba,7,3,5
Republic of Korea,6,4,10
Hungary,6,7,7
Poland,4,5,5
Norway,4,2,2
Kenya,4,4,2
Jamaica,4,1,4
Czech Republic,4,4,3
Serbia,3,1,5
Slovenia,3,1,1
Spain,3,8,6
Islamic Republic of Iran,3,2,2
Sweden,3,6,0
Switzerland,3,4,6
Uzbekistan,3,0,2
Belgium,3,1,3
Bulgaria,3,1,2
Croatia,3,3,2
Denmark,3,4,4
Ecuador,2,1,0
Greece,2,1,1
Ireland,2,0,2
Israel,2,0,2
Georgia,2,5,1
Turkey,2,2,9
Chinese Taipei,2,4,6
Kosovo,2,0,0
Uganda,2,1,1
Bahamas,2,0,0
Qatar,2,0,1
Egypt,1,1,4
Thailand,1,0,1
"Hong Kong, China",1,2,3
Estonia,1,0,1
India,1,2,4
Indonesia,1,1,3
Tunisia,1,1,0
South Africa,1,2,0
Ethiopia,1,1,2
Slovakia,1,2,1
Latvia,1,0,1
Bermuda,1,0,0
Romania,1,3,0
Morocco,1,0,0
Belarus,1,3,3
Ukraine,1,6,12
Austria,1,1,5
Fiji,1,0,1
Philippines,1,2,1
Venezuela,1,3,0
Portugal,1,1,2
Puerto Rico,1,0,0
Turkmenistan,0,1,0
Saudi Arabia,0,1,0
San Marino,0,1,2
Republic of Moldova,0,0,1
Syrian Arab Republic,0,0,1
North Macedonia,0,1,0
Nigeria,0,1,1
Namibia,0,1,0
Mongolia,0,1,3
Mexico,0,0,4
Malaysia,0,1,1
Lithuania,0,1,0
Kyrgyzstan,0,2,1
Kuwait,0,0,1
Kazakhstan,0,0,8
Jordan,0,1,1
Grenada,0,0,1
Ghana,0,0,1
Finland,0,0,2
Dominican Republic,0,3,2
C�te d'Ivoire,0,0,1
Colombia,0,4,1
Burkina Faso,0,0,1
Botswana,0,0,1
Bahrain,0,1,0
Azerbaijan,0,3,4
Armenia,0,2,2
Argentina,0,1,2
